ARPT_ID,ARPT_NAME,CITY,STATE_NAME,predicted_score,cert_importance_score,is_military_relevant,LAT_DECIMAL,LONG_DECIMAL
1S3,TILLITT FLD,FORSYTH,MONTANA,79.18916106617955,0.0,1,46.27115077,-106.62390211
SCB,SCRIBNER STATE,SCRIBNER,NEBRASKA,79.16714512955282,0.0,1,41.61070763,-96.62977875
DLO,DELANO MUNI,DELANO,CALIFORNIA,79.14704804161059,0.0,1,35.74555555,-119.2365
LLR,LITTLE RIVER,LITTLE RIVER,CALIFORNIA,79.14704804161059,0.0,1,39.26205555,-123.75377777
C75,MARSHALL COUNTY,LACON,ILLINOIS,79.14534598982877,0.0,1,41.01883333,-89.38577777
4V0,RANGELY,RANGELY,COLORADO,79.13902011217311,0.0,1,40.09397222,-108.76305555
CTK,INGERSOLL,CANTON,ILLINOIS,79.13811620146532,0.0,1,40.56908333,-90.07483333
AAA,LOGAN COUNTY,LINCOLN,ILLINOIS,79.12963426570789,0.0,1,40.15869444,-89.33502777
HTL,ROSCOMMON COUNTY/BLODGETT MEML,HOUGHTON LAKE,MICHIGAN,79.12523498977271,0.0,1,44.35986902,-84.66948302
4M3,CARLISLE MUNI,CARLISLE,ARKANSAS,79.1238370468099,0.0,1,34.80822222,-91.71211111
M73,ALMYRA MUNI,ALMYRA,ARKANSAS,79.1238370468099,0.0,1,34.41247944,-91.46530555
RBO,NUECES COUNTY,ROBSTOWN,TEXAS,79.12377987430872,0.0,1,27.77813888,-97.69011111
PMB,PEMBINA MUNI,PEMBINA,NORTH DAKOTA,79.12246398369383,0.0,1,48.94241666,-97.24066666
D50,CROSBY MUNI,CROSBY,NORTH DAKOTA,79.12206048975214,0.0,1,48.92829944,-103.29758166
BKN,BLACKWELL-TONKAWA MUNI,BLACKWELL,OKLAHOMA,79.12142596736768,0.0,1,36.74511111,-97.34958333
LIU,LITTLEFIELD TAYLOR BROWN MUNI,LITTLEFIELD,TEXAS,79.12084058052093,0.0,1,33.92394419,-102.38667377
MXA,MANILA MUNI,MANILA,ARKANSAS,79.11893983393296,0.0,1,35.89444722,-90.15457055
FMZ,FAIRMONT STATE,FAIRMONT,NEBRASKA,79.10821393465338,0.0,1,40.58609758,-97.57313655
TKV,TOMAHAWK RGNL,TOMAHAWK,WISCONSIN,79.07957466093917,0.0,1,45.46936111,-89.80488888
OCQ,OCONTO/J DOUGLAS BAKE MUNI,OCONTO,WISCONSIN,79.07491862505722,0.0,1,44.87405555,-87.90977
SLQ,SLEETMUTE,SLEETMUTE,ALASKA,79.07477776179695,0.0,1,61.70050944,-157.16584972
8D1,NEW HOLSTEIN MUNI,NEW HOLSTEIN,WISCONSIN,79.0701506957715,0.0,1,43.94410458,-88.11484169
Y70,IONIA COUNTY,IONIA,MICHIGAN,79.06748592163298,0.0,1,42.93792786,-85.06057302
OGM,ONTONAGON COUNTY/SCHUSTER FLD,ONTONAGON,MICHIGAN,79.06642149211879,0.0,1,46.84547027,-89.36709166
MVE,MONTEVIDEO-CHIPPEWA COUNTY,MONTEVIDEO,MINNESOTA,79.06239901159054,0.0,1,44.96919444,-95.71038888
17J,DONALSONVILLE MUNI,DONALSONVILLE,GEORGIA,79.0581327581504,0.0,1,31.00650722,-84.87763666
U52,BEAVER MUNI,BEAVER,UTAH,79.0549481762349,0.0,1,38.23058333,-112.67541666
HSR,HOT SPRINGS MUNI,HOT SPRINGS,SOUTH DAKOTA,79.0535715605298,0.0,1,43.36830555,-103.38827777
CNH,CLAREMONT MUNI,CLAREMONT,NEW HAMPSHIRE,79.04895401314738,0.0,1,43.37050444,-72.36820694
TOA,ZAMPERINI FLD,TORRANCE,CALIFORNIA,79.04776401357327,0.0,1,33.80338286,-118.33960763
TNP,TWENTYNINE PALMS,TWENTYNINE PALMS,CALIFORNIA,79.03566938024478,0.0,1,34.13158333,-115.94580555
TAN,TAUNTON MUNI/KING FLD,TAUNTON,MASSACHUSETTS,79.01762230190785,0.0,1,41.87408027,-71.01523277
O81,TULELAKE MUNI,TULELAKE,CALIFORNIA,79.00953935415453,0.0,1,41.89064611,-121.36061972
3D2,EPHRAIM/GIBRALTAR,EPHRAIM,WISCONSIN,78.99366279606807,0.0,1,45.13542388,-87.1879425
4G1,GREENVILLE MUNI,GREENVILLE,PENNSYLVANIA,78.9903571298417,0.0,1,41.44676644,-80.39119675
TVY,BOLINDER FLD/TOOELE VALLEY,TOOELE,UTAH,78.97698751555437,0.0,1,40.61255333,-112.3507775
1G3,KENT STATE UNIVERSITY,KENT,OHIO,78.97644140124959,0.0,1,41.15138888,-81.41511111
3CU,CABLE UNION,CABLE,WISCONSIN,78.97210884076785,0.0,1,46.19493305,-91.24845305
6M0,HAZEN MUNI DAVID DUCH FLD,HAZEN,ARKANSAS,78.97196295621595,0.0,1,34.75921388,-91.63804583
1B9,MANSFIELD MUNI,MANSFIELD,MASSACHUSETTS,78.97122762172012,0.0,1,42.00087916,-71.19804111
3R4,HART,MANY,LOUISIANA,78.97121252918875,0.0,1,31.54424722,-93.48380555
CZG,TRI-CITIES,ENDICOTT,NEW YORK,78.97044034971691,0.0,1,42.07853416,-76.09633055
3B0,SOUTHBRIDGE MUNI,SOUTHBRIDGE,MASSACHUSETTS,78.9627480196604,0.0,1,42.10111111,-72.03883333
FHR,FRIDAY HARBOR,FRIDAY HARBOR,WASHINGTON,78.94735659373684,0.0,1,48.52197222,-123.02436111
PHP,PHILIP,PHILIP,SOUTH DAKOTA,78.94660321983739,0.0,1,44.04873063,-101.59884047
ACQ,WASECA MUNI/MAYNARD RICHARD STENSRUD FLD,WASECA,MINNESOTA,78.94331875030088,0.0,1,44.07347222,-93.55294416
6B0,MIDDLEBURY STATE,MIDDLEBURY,VERMONT,78.9417481573423,0.0,1,43.98647194,-73.09555166
HAF,HALF MOON BAY,HALF MOON BAY,CALIFORNIA,78.92040386134244,0.0,1,37.51344444,-122.50116666
O15,TURLOCK MUNI,TURLOCK,CALIFORNIA,78.91649659024792,0.0,1,37.48402777,-120.69733333
08A,WETUMPKA MUNI,WETUMPKA,ALABAMA,78.90204345196454,0.0,1,32.52733333,-86.33102777
6D9,IOSCO COUNTY,EAST TAWAS,MICHIGAN,78.89278512004711,0.0,1,44.31283333,-83.42230555
RNP,OWOSSO COMMUNITY,OWOSSO,MICHIGAN,78.89278512004711,0.0,1,42.99297222,-84.1385
TEW,MASON JEWETT FLD,MASON,MICHIGAN,78.89093602719782,0.0,1,42.56576777,-84.42320611
3CM,JAMES CLEMENTS MUNI,BAY CITY,MICHIGAN,78.88801719076139,0.0,1,43.54694444,-83.89547222
LXL,LITTLE FALLS/MORRISON COUNTY-LINDBERGH FLD,LITTLE FALLS,MINNESOTA,78.8850728155135,0.0,1,45.949065,-94.34703638
FSE,FOSSTON MUNI/ANDERSON FLD,FOSSTON,MINNESOTA,78.88383366360607,0.0,1,47.59282972,-95.77348666
D09,BOTTINEAU MUNI,BOTTINEAU,NORTH DAKOTA,78.88077636499776,0.0,1,48.83047222,-100.41730555
C73,DIXON MUNI-CHARLES R WALGREEN FLD,DIXON,ILLINOIS,78.87904297392713,0.0,1,41.83369888,-89.44621333
HIG,HIGGINSVILLE INDUSTRIAL MUNI,HIGGINSVILLE,MISSOURI,78.87378847013046,0.0,1,39.07244444,-93.67736111
BUM,BUTLER MEML,BUTLER,MISSOURI,78.87378847013046,0.0,1,38.28976722,-94.34012777
IGG,IGIUGIG,IGIUGIG,ALASKA,78.86983937157636,0.0,1,59.32404166,-155.90177277
U34,GREEN RIVER MUNI,GREEN RIVER,UTAH,78.86733233264967,0.0,1,38.96168861,-110.22728777
S87,WEISER MUNI,WEISER,IDAHO,78.86573065890748,0.0,1,44.20466666,-116.96052777
DXX,LAC QUI PARLE COUNTY,MADISON,MINNESOTA,78.85436220924689,0.0,1,44.98643527,-96.1778595
S40,PROSSER,PROSSER,WASHINGTON,78.84763142477328,0.0,1,46.21336111,-119.79555555
O37,HAIGH FLD,ORLAND,CALIFORNIA,78.83181003008413,0.0,1,39.72038888,-122.14636111
L18,FALLBROOK COMMUNITY AIRPARK,FALLBROOK,CALIFORNIA,78.83181003008413,0.0,1,33.35467416,-117.25028527
BNG,BANNING MUNI,BANNING,CALIFORNIA,78.83181003008413,0.0,1,33.92255555,-116.85097222
I42,PAOLI MUNI,PAOLI,INDIANA,78.80653622099314,0.0,1,38.58480388,-86.46494833
Y74,PARSHALL-HANKINS,PARSHALL,NORTH DAKOTA,78.80145788758381,0.0,1,47.93568472,-102.14212444
FBY,FAIRBURY MUNI,FAIRBURY,NEBRASKA,78.77084357487705,0.0,1,40.18197222,-97.16788888
HQG,HUGOTON MUNI,HUGOTON,KANSAS,78.76251345652672,0.0,1,37.16335833,-101.3706775
U82,COUNCIL MUNI,COUNCIL,IDAHO,78.75096185321057,0.0,1,44.75033333,-116.44505555
W41,CRISFIELD-SOMERSET COUNTY,CRISFIELD,MARYLAND,78.73833402939222,0.0,1,38.01816666,-75.82686111
GZL,STIGLER RGNL,STIGLER,OKLAHOMA,78.73431461778003,0.0,1,35.28816666,-95.09388888
I18,JACKSON COUNTY,RAVENSWOOD,WEST VIRGINIA,78.72266369491628,0.0,1,38.92977777,-81.81947222
N35,PUNXSUTAWNEY MUNI,PUNXSUTAWNEY,PENNSYLVANIA,78.72175572574018,0.0,1,40.96683666,-78.92990444
B19,BIDDEFORD MUNI,BIDDEFORD,MAINE,78.71834702344479,0.0,1,43.46411111,-70.47238888
UKT,QUAKERTOWN,QUAKERTOWN,PENNSYLVANIA,78.71247432254206,0.0,1,40.43513888,-75.38194444
K78,ABILENE MUNI,ABILENE,KANSAS,78.70941524137059,0.0,1,38.90405555,-97.23586111
2K7,NEODESHA MUNI,NEODESHA,KANSAS,78.70941524137059,0.0,1,37.43536444,-95.64611888
LQR,LARNED-PAWNEE COUNTY,LARNED,KANSAS,78.70849246934361,0.0,1,38.20860408,-99.08591408
U03,BUHL MUNI,BUHL,IDAHO,78.69696616803222,0.0,1,42.59738888,-114.80063888
MKA,MILLER MUNI,MILLER,SOUTH DAKOTA,78.6891836414619,0.0,1,44.52523888,-98.95807916
9G8,EBENSBURG,EBENSBURG,PENNSYLVANIA,78.68605888213827,0.0,1,40.46125416,-78.77531138
4E7,ELLENDALE MUNI,ELLENDALE,NORTH DAKOTA,78.67973364862516,0.0,1,46.01633333,-98.51569444
69V,HUNTINGTON MUNI,HUNTINGTON,UTAH,78.6796884445203,0.0,1,39.36122472,-110.91698055
48D,CLARE MUNI,CLARE,MICHIGAN,78.67501320432683,0.0,1,43.83444444,-84.74022222
FPK,FITCH H BEACH,CHARLOTTE,MICHIGAN,78.67316411147755,0.0,1,42.57408888,-84.81209722
S32,COOPERSTOWN MUNI,COOPERSTOWN,NORTH DAKOTA,78.67274109166021,0.0,1,47.42277361,-98.10587138
LCG,WAYNE MUNI/STAN MORRIS FLD,WAYNE,NEBRASKA,78.65346411525269,0.0,1,42.24160575,-96.982271
4V9,ANTELOPE COUNTY,NELIGH,NEBRASKA,78.65346411525269,0.0,1,42.11225,-98.03977777
TQE,TEKAMAH MUNI,TEKAMAH,NEBRASKA,78.65346411525269,0.0,1,41.76353705,-96.177939
S12,ALBANY MUNI,ALBANY,OREGON,78.65183580582217,0.0,1,44.63781527,-123.05944888
0F4,LOUP CITY MUNI,LOUP CITY,NEBRASKA,78.64968308176722,0.0,1,41.28636111,-98.99002777
W96,NEW KENT COUNTY,QUINTON,VIRGINIA,78.623200903853,0.0,1,37.50342944,-77.12655833
K34,GARDNER MUNI,GARDNER,KANSAS,78.62112931588418,0.0,1,38.80684833,-94.95674944
RSL,RUSSELL MUNI,RUSSELL,KANSAS,78.6192453682055,0.0,1,38.87136358,-98.81160372
DSV,DANSVILLE MUNI,DANSVILLE,NEW YORK,78.60687368688805,0.0,1,42.57053138,-77.71327277
07F,GLADEWATER MUNI,GLADEWATER,TEXAS,78.60651070101127,0.0,1,32.52883333,-94.97175
SWI,SHERMAN MUNI,SHERMAN,TEXAS,78.60651070101127,0.0,1,33.62413888,-96.58613888
IDL,INDIANOLA MUNI,INDIANOLA,MISSISSIPPI,78.59825564598181,0.0,1,33.48572222,-90.67888888
9V5,MODISETT,RUSHVILLE,NEBRASKA,78.58889024614652,0.0,1,42.73657547,-102.44436013
RMY,BROOKS FLD,MARSHALL,MICHIGAN,78.58487818599113,0.0,1,42.25119316,-84.9554443
RBE,ROCK COUNTY,BASSETT,NEBRASKA,78.58044290797105,0.0,1,42.57112577,-99.56952019
2K4,SCOTT FLD,MANGUM,OKLAHOMA,78.57847181021671,0.0,1,34.89261111,-99.52822222
O35,HOLLIS MUNI,HOLLIS,OKLAHOMA,78.57725259193037,0.0,1,34.70530527,-99.90856472
5NK,NAKNEK,NAKNEK,ALASKA,78.57380057883252,0.0,1,58.73466286,-157.02521041
01G,PERRY-WARSAW,PERRY,NEW YORK,78.56040256065656,0.0,1,42.74134861,-78.05214805
OIN,OBERLIN MUNI,OBERLIN,KANSAS,78.55897010260726,0.0,1,39.83438444,-100.53983416
HZR,FALSE RIVER RGNL,NEW ROADS,LOUISIANA,78.5552999951252,0.0,1,30.71833333,-91.47866666
4S2,KEN JERNSTEDT AIRFIELD,HOOD RIVER,OREGON,78.55396279205918,0.0,1,45.67277677,-121.53386386
AOC,ARCO-BUTTE COUNTY,ARCO,IDAHO,78.54614287858628,0.0,1,43.60352777,-113.33425
W31,LUNENBURG COUNTY,KENBRIDGE,VIRGINIA,78.54123589660391,0.0,1,36.96040277,-78.18511111
2F7,COMMERCE MUNI,COMMERCE,TEXAS,78.54078911069276,0.0,1,33.29286111,-95.89641666
M48,HOUSTON MEML,HOUSTON,MISSOURI,78.53948221193411,0.0,1,37.33022222,-91.97316666
70J,CAIRO-GRADY COUNTY,CAIRO,GEORGIA,78.5317000699725,0.0,1,30.88797222,-84.15472222
REI,REDLANDS MUNI,REDLANDS,CALIFORNIA,78.52850371448295,0.0,1,34.08525,-117.14638888
L08,BORREGO VALLEY,BORREGO SPRINGS,CALIFORNIA,78.52850371448295,0.0,1,33.25902777,-116.32097222
4U6,CIRCLE TOWN COUNTY,CIRCLE,MONTANA,78.5204342155813,0.0,1,47.41833333,-105.56088888
MNF,MOUNTAIN VIEW,MOUNTAIN VIEW,MISSOURI,78.5025121603265,0.0,1,36.99283333,-91.71447222
3GV,EAST KANSAS CITY,GRAIN VALLEY,MISSOURI,78.50218474972702,0.0,1,39.01464119,-94.21485844
F56,ARLEDGE FLD,STAMFORD,TEXAS,78.50177519217891,0.0,1,32.91047222,-99.73416666
U68,NORTH BIG HORN COUNTY,COWLEY/LOVELL/BYRON,WYOMING,78.49964923273097,0.0,1,44.91166666,-108.4455
13K,LT WILLIAM M MILLIKEN,EUREKA,KANSAS,78.48066228924111,0.0,1,37.85161611,-96.29202444
JSY,JOSEPH STATE,JOSEPH,OREGON,78.47653790472911,0.0,1,45.35954972,-117.25383888
MAL,MALONE-DUFORT,MALONE,NEW YORK,78.47112240016592,0.0,1,44.85366666,-74.32894444
3K3,SYRACUSE-HAMILTON COUNTY MUNI,SYRACUSE,KANSAS,78.47052362539903,0.0,1,37.99858305,-101.74760777
3P3,MOTT MUNI,MOTT,NORTH DAKOTA,78.46266528496278,0.0,1,46.35916194,-102.32824416
VUO,PEARSON FLD,VANCOUVER,WASHINGTON,78.45776350676314,0.0,1,45.6204525,-122.65648833
O52,SUTTER COUNTY,YUBA CITY,CALIFORNIA,78.45225190740192,0.0,1,39.12366666,-121.60536111
H92,HOMINY MUNI,HOMINY,OKLAHOMA,78.45087605115094,0.0,1,36.44275,-96.38722222
EIW,COUNTY MEML,NEW MADRID,MISSOURI,78.43720974875455,0.0,1,36.53530555,-89.59972222
4D0,ABRAMS MUNI,GRAND LEDGE,MICHIGAN,78.43426456280034,0.0,1,42.77488194,-84.73313638
1H8,CASEY MUNI,CASEY,ILLINOIS,78.4325537128726,0.0,1,39.30250916,-88.00406194
WAY,GREENE COUNTY,WAYNESBURG,PENNSYLVANIA,78.42119821663792,0.0,1,39.90113888,-80.13069444
1D8,REDFIELD MUNI,REDFIELD,SOUTH DAKOTA,78.41562051910876,0.0,1,44.85656722,-98.53122833
8D3,SISSETON MUNI,SISSETON,SOUTH DAKOTA,78.41243366819397,0.0,1,45.6695275,-96.99358555
26R,JACKSON COUNTY,EDNA,TEXAS,78.39721206977657,0.0,1,29.00099916,-96.58196194
CKI,WILLIAMSBURG RGNL,KINGSTREE,SOUTH CAROLINA,78.3855127883378,0.0,1,33.71722222,-79.85697222
S78,EMMETT MUNI,EMMETT,IDAHO,78.38047917079315,0.0,1,43.85265,-116.53906944
H04,VINITA MUNI,VINITA,OKLAHOMA,78.37906906430307,0.0,1,36.61461627,-95.15169477
C66,MONMOUTH MUNI,MONMOUTH,ILLINOIS,78.36772448140195,0.0,1,40.92970444,-90.63110722
UBX,CUBA MUNI,CUBA,MISSOURI,78.36772448140195,0.0,1,38.06877305,-91.42885861
14J,CARL FOLSOM,ELBA,ALABAMA,78.36764631189767,0.0,1,31.41004166,-86.09033611
94K,CASSVILLE MUNI,CASSVILLE,MISSOURI,78.36739707080247,0.0,1,36.69740527,-93.90052527
9F8,HOVEN MUNI,HOVEN,SOUTH DAKOTA,78.3548849992925,0.0,1,45.25755861,-99.79783944
S85,BIG SKY FLD,CULBERTSON,MONTANA,78.34654826116912,0.0,1,48.15355972,-104.50405555
1D1,MILBANK MUNI,MILBANK,SOUTH DAKOTA,78.34279461900117,0.0,1,45.2305,-96.56608333
AGZ,WAGNER MUNI,WAGNER,SOUTH DAKOTA,78.34279461900117,0.0,1,43.06416613,-98.29638208
50K,PAWNEE CITY MUNI,PAWNEE CITY,NEBRASKA,78.33314715058548,0.0,1,40.11616666,-96.19486111
6K3,CREIGHTON MUNI,CREIGHTON,NEBRASKA,78.33314715058548,0.0,1,42.47127777,-97.88475
1D6,HECTOR MUNI,HECTOR,MINNESOTA,78.32496871618834,0.0,1,44.73110252,-94.713786
1L1,LINCOLN COUNTY,PANACA,NEVADA,78.32299371952263,0.0,1,37.78741666,-114.41988888
0G3,TECUMSEH MUNI,TECUMSEH,NEBRASKA,78.32222710860383,0.0,1,40.40094444,-96.17044444
02G,COLUMBIANA COUNTY,EAST LIVERPOOL,OHIO,78.31835311369403,0.0,1,40.67330555,-80.64141666
C47,PORTAGE MUNI,PORTAGE,WISCONSIN,78.31445234172301,0.0,1,43.56026222,-89.48291138
FXY,FOREST CITY MUNI/TRIMBLE FLD,FOREST CITY,IOWA,78.31132983281708,0.0,1,43.23475691,-93.62410394
L19,WASCO-KERN COUNTY,WASCO,CALIFORNIA,78.2938266454368,0.0,1,35.61986111,-119.35372222
M36,FRANK FEDERER MEML,BRINKLEY,ARKANSAS,78.29012958189179,0.0,1,34.88027777,-91.17644444
24A,JACKSON COUNTY,SYLVA,NORTH CAROLINA,78.27569518654263,0.0,1,35.31721111,-83.20970361
D55,ROBERTSON FLD,LANGDON,NORTH DAKOTA,78.26381302416208,0.0,1,48.75313063,-98.39376916
82A,MARION COUNTY,BUENA VISTA,GEORGIA,78.26176598774676,0.0,1,32.28280555,-84.50369444
KIC,MESA DEL REY,KING CITY,CALIFORNIA,78.26159987749314,0.0,1,36.22855555,-121.12130555
EKA,MURRAY FLD,EUREKA,CALIFORNIA,78.26159987749314,0.0,1,40.80339805,-124.11279027
6A1,BUTLER MUNI,BUTLER,GEORGIA,78.2568056088305,0.0,1,32.56823583,-84.2466875
S36,NORMAN GRIER FLD,KENT,WASHINGTON,78.25336646743399,0.0,1,47.33709666,-122.10353638
AUH,AURORA MUNI/AL POTTER FLD,AURORA,NEBRASKA,78.24940120849624,0.0,1,40.89413888,-97.99455555
S72,JACK A BUELL,ST MARIES,IDAHO,78.24071901558598,0.0,1,47.32581111,-116.57667777
38U,WAYNE WONDERLAND,LOA,UTAH,78.24069179948773,0.0,1,38.36291444,-111.59598666
7V7,RED CLOUD MUNI,RED CLOUD,NEBRASKA,78.19206031251706,0.0,1,40.08216666,-98.54136111
35D,PADGHAM FLD,ALLEGAN,MICHIGAN,78.18205171826118,0.0,1,42.53043652,-85.823779
K57,GOULD PETERSON MUNI,TARKIO,MISSOURI,78.17251408795904,0.0,1,40.44548916,-95.36730638
8G2,CORRY-LAWRENCE,CORRY,PENNSYLVANIA,78.17237478150085,0.0,1,41.90755555,-79.64105555
N13,BLOOMSBURG MUNI,BLOOMSBURG,PENNSYLVANIA,78.17237478150085,0.0,1,40.99765055,-76.43524636
2F1,SHAMROCK MUNI,SHAMROCK,TEXAS,78.17210453041093,0.0,1,35.23461111,-100.18530555
93F,MIGNON LAIRD MUNI,CHEYENNE,OKLAHOMA,78.16931678429951,0.0,1,35.60323472,-99.7030125
80F,ANTLERS MUNI,ANTLERS,OKLAHOMA,78.16907854071806,0.0,1,34.19356805,-95.64986361
B21,SUGARLOAF RGNL,CARRABASSETT,MAINE,78.1676669625582,0.0,1,45.08531972,-70.2163225
81B,OXFORD COUNTY RGNL,OXFORD,MAINE,78.16390723966394,0.0,1,44.15744444,-70.48127777
CAR,CARIBOU MUNI,CARIBOU,MAINE,78.16275927338216,0.0,1,46.87163888,-68.01819444
4M8,CLARENDON MUNI,CLARENDON,ARKANSAS,78.15199885065371,0.0,1,34.64666888,-91.39472055
O47,PRAGUE MUNI,PRAGUE,OKLAHOMA,78.12330711402014,0.0,1,35.48077777,-96.71875
HJO,HANFORD MUNI,HANFORD,CALIFORNIA,78.11620529563311,0.0,1,36.31672222,-119.62766666
2F6,SKIATOOK MUNI,SKIATOOK,OKLAHOMA,78.1127138017534,0.0,1,36.35514416,-96.01072561
D42,SPRINGFIELD MUNI,SPRINGFIELD,MINNESOTA,78.10636437246706,0.0,1,44.23105555,-94.99891666
26N,OCEAN CITY MUNI,OCEAN CITY,NEW JERSEY,78.10169655850206,0.0,1,39.26347916,-74.60747638
61S,COTTAGE GROVE STATE,COTTAGE GROVE,OREGON,78.09475760365899,0.0,1,43.80407052,-123.03211616
S30,LEBANON STATE,LEBANON,OREGON,78.09436493921984,0.0,1,44.53113888,-122.92972222
F37,CARRIZOZO MUNI,CARRIZOZO,NEW MEXICO,78.0670718865769,0.0,1,33.64890277,-105.89622
FSW,FORT MADISON MUNI,FORT MADISON,IOWA,78.0491388210267,0.0,1,40.65911111,-91.32775
6K4,FAIRVIEW MUNI,FAIRVIEW,OKLAHOMA,78.04855748257002,0.0,1,36.29119444,-98.47580555
F08,EUFAULA MUNI,EUFAULA,OKLAHOMA,78.04543910639849,0.0,1,35.29830416,-95.62737083
1O4,THOMAS MUNI,THOMAS,OKLAHOMA,78.04543910639849,0.0,1,35.73366666,-98.73052777
EFW,JEFFERSON MUNI,JEFFERSON,IOWA,78.04528319945953,0.0,1,42.00983333,-94.34180555
N47,POTTSTOWN MUNI,POTTSTOWN,PENNSYLVANIA,78.04051251671663,0.0,1,40.26041666,-75.67083333
5A9,ROOSEVELT MEML,WARM SPRINGS,GEORGIA,78.03866062158538,0.0,1,32.9385,-84.69644444
O27,OAKDALE,OAKDALE,CALIFORNIA,78.03861162170934,0.0,1,37.75634361,-120.80020833
Y03,SPRINGFIELD MUNI,SPRINGFIELD,SOUTH DAKOTA,78.03786713068646,0.0,1,42.88112008,-97.9016255
3G9,BUTLER FARM SHOW,BUTLER,PENNSYLVANIA,78.03763581285409,0.0,1,40.85256444,-79.97477972
